Model,T-Statistic,P-Value,Cohen's d,CI Lower Bound,CI Upper Bound
gpt-3.5-turbo,-53.24832757252055,0.0,0.9866900590867422,8.390601074069156,9.031900133077151
gpt-4-turbo,-124.06229056832251,0.0,2.716438106860107,45.673174402448865,47.1394764908394
allam-2-7b,-46.948613427230725,0.0,0.7180821956023078,8.233519688356385,8.950932267220633
llama-3.3-70b-versatile,-164.73128298165318,0.0,3.5614687486290784,47.876159292856904,49.02915471680493
deepseek-r1-distill-llama-70b,-69.80887871083921,0.0,1.4739172604535244,24.21196673507827,25.610824187181507
