Model,Pearson Correlation,Pearson P-Value,Spearman Correlation,Spearman P-Value
gpt-3.5-turbo,0.35326118855447297,5.169223272190772e-122,0.5094982323019283,1.5684356089337705e-272
gpt-4-turbo,0.008039191402777101,0.6049876115183315,0.18710257159377885,6.069610025695193e-34
allam-2-7b,0.5506405783991897,0.0,0.5964748536751456,0.0
llama-3.3-70b-versatile,0.04217051743640484,0.006652468428972227,0.21757564657857095,1.5038033881803265e-45
deepseek-r1-distill-llama-70b,0.09597592974432259,6.043890121255591e-10,0.27399381968899855,3.1419781249649887e-72
